miner,counter
0x00192Fb10dF37c9FB26829eb2CC623cd1BF599E8,26047
0x002e08000acbbaE2155Fab7AC01929564949070d,6505
0x005e288D713a5fB3d7c9cf1B43810A98688C7223,3048
0x01Ca8A0BA4a80d12A8fb6e3655688f57b16608cf,5307
0x02cDf81110F81846387a9C15a432f2df1eAac05f,1
0x03e75d7DD38CCE2e20FfEE35EC914C57780A8e29,5798
0x04668Ec2f57cC15c381b461B9fEDaB5D451c8F7F,21861
0x06B8C5883Ec71bC3f4B332081519f23834c8706E,913
0x0708F87A089a91C65d48721Aa941084648562287,10210
0x09ab1303d3CcAF5f018CD511146b07A240c70294,3579
0x1A67535350ff27BC591E2fb3665D60217c071517,1
0x1CA43B645886C98d7Eb7d27ec16Ea59f509CBe1a,103
0x1aD91ee08f21bE3dE0BA2ba6918E714dA6B45836,73588
0x21479eB8CB1a27861c902F07A952b72b10Fd53EF,20
0x2431b37Ca9f516aAd592a2aa4AcA4F4532B78Bff,3
0x249bdb4499bd7c683664C149276C1D86108E2137,757
0x26B3eEA1CD34a4aFF7Ce828A5F71DAAC042d38E0,1235
0x28846f1Ec065eEa239152213373bb58B1C9Fc93B,1741
0x289DD50B19FfC2317Af7B40BC779775cBcc0c83c,1
0x2A0eEe948fBe9bd4B661AdEDba57425f753EA0f6,1492
0x2A20380DcA5bC24D052acfbf79ba23e988ad0050,12241
0x2DaA35962A6D43EB54C48367b33d0B379C930E5e,7502
0x2b0dDd0B78Ae998C5A48FF2e00C4fC568ec0A412,1
0x2c49D502dC4D9Aee47C26441D7D90794c18243ed,3
0x2f731c3e8Cd264371fFdb635D07C14A6303DF52A,1894
0x33bA7001fd56980feABEb516A5CeA3CC933562D9,1
0x35970A82505354F4011e449731A8725C4E4e0Bc6,1
0x35F61DFB08ada13eBA64Bf156B80Df3D5B3a738d,550
0x39495d90CD409EB8Faf95D9D56903207c7913B07,1
0x3EcEf08D0e2DaD803847E052249bb4F8bFf2D5bB,36698
0x4069e799Da927C06b430e247b2ee16C03e8B837d,4792
0x433022C4066558E7a32D850F02d2da5cA782174D,3565
0x45a36a8e118C37e4c47eF4Ab827A7C9e579E11E2,24754
0x4F9bEBE3adC3c7f647C0023C60f91AC9dfFA52d5,2418
0x52bc44d5378309EE2abF1539BF71dE1b7d7bE3b5,28774
0x537B6bd3caEB0d41540aC1Fd406b9ACDa5670aaD,758
0x54e23bcc99E5A5818B382aC5bdDda496E199Aa6b,876
0x5A0b54D5dc17e0AadC383d2db43B0a0D3E029c4c,166060
0x5B56F09e7D6272FC014f8526A5290700c5Bb302b,1355
0x5C23E54FE46EF9181E4403D6e1DbB9aA21C0B185,423
0x5DcB78343780E1B1e578ae0590dc1e868792a435,49
0x6486A3f7849734d0EA333eaf9244A4A34dCA17f6,1
0x6EBaF477F83E055589C1188bCC6DDCCD8C9B131a,6164
0x6a851246689EB8fC77a9bF68Df5860f13f679fA0,8
0x776BB566dC299C9e722773d2A04B401e831a6DC8,62
0x7777788200B672A42421017F65EDE4Fc759564C8,38
0x7F101fE45e6649A6fB8F3F8B43ed03D353f2B90c,32158
0x829BD824B016326A401d083B33D092293333A830,143380
0x8595Dd9e0438640b5E1254f9DF579aC12a86865F,10758
0x8B4de256180CFEC54c436A470AF50F9EE2813dbB,192
0x8F03f1a3f10c05E7CCcF75C1Fd10168e06659Be7,9491
0x99C85bb64564D9eF9A99621301f22C9993Cb89E3,37436
0x9d61cC45B646DB73030da31847bd2E7c76c425E9,1
0xAEe98861388af1D6323B95F78ADF3DDA102a276C,19
0xAc4295C7083B6820A341068c6260B20D2613B07C,24
0xB1aF7a686Ff31aB089De7940d345EAe3C3350de0,1
0xB3b7874F13387D44a3398D298B075B7A3505D8d4,23884
0xB7e390864a90b7b923C9f9310C6F98aafE43F707,33681
0xB8d2628452744Ef47c83Bd9A323DF37ee35BBD20,3
0xBbbBbBbb49459e69878219F906e73Aa325ff2F0C,292
0xC68253cC41a73B28d2d2071ADC122A927A0B01D0,10
0xC7faBFd21f0b3254686337B63b4F1282c29AAdd8,2
0xCD458d7F11023556cC9058F729831a038Cb8Df9c,11449
0xCd7B9E2B957c819000B1A8107130F786636C5ccc,1
0xD224cA0c819e8E97ba0136B3b95ceFf503B79f53,11732
0xD33F2F5b8286Ae74EeD26F0d32A93bEf6e61Fd24,8
0xD8B851a78B7aeA4865b4Ce5fb422eB70a6e5c8DC,1
0xE3b94c9557603A8b1914103dc9d13E4d9105945D,8
0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,271809
0xEEa5B82B61424dF8020f5feDD81767f2d0D25Bfb,8288
0xF20b338752976878754518183873602902360704,4713
0xF3A71CC1BE5CE833C471E3F25aA391f9cd56E1AA,5
0xF541C3CD1D2df407fB9Bb52b3489Fc2aaeEDd97E,4747
0xa1B7326d90A4d796EF0992A3FB4Ef0702bf372ea,2
0xa1E00c5E3ADf957595Fdf64333a949589b7292C2,4
0xa22AE0D99e50981a6F098051EbBCFD81cD07d79c,1
0xa59EA72E4C4f1560467F15298cD83874E9af1C09,2
0xab3B229eB4BcFF881275E7EA2F0FD24eeaC8C83a,4090
0xb6e5c64448f2af44ecB0d74218903fc0c02a3a9A,1
0xbCC817f057950b0df41206C5D7125E6225Cae18e,7014
0xbd5CDD2B3D04Ce42605AAEa7E8355ac0e0a12710,3
0xc102D67fF033403d9253790ea163d8F555A69D9e,1
0xc2d757B434b0b0CaC36A62e198c526e25233F1BA,31
0xc3348B43d3881151224b490e4aa39E03d2B1cDEa,8812
0xc365c3315cF926351CcAf13fA7D19c8C4058C8E1,8562
0xc8F595E2084DB484f8A80109101D58625223b7C9,12376
0xc93452A74e596e81E4f73Ca1AcFF532089AD4c62,3853
0xcF6CE585cB4A78a6F96e6c8722927161A696f337,2
0xd327A5Ef64541Cdd628B51b5814f914596124703,2
0xd757fd54b273BB1234d4d9993f27699d28d0EDD2,177
0xd7aD8e2A17800A2c413f331d334F83f5Da8d5dBA,1
0xe206e3DCa498258f1B7EEc1c640B5AEE7BB88Fd0,10154
0xe9B54a47e3f401d37798Fc4E22F14b78475C2afc,590
0xf35074bbD0a9AEE46F4Ea137971FEEC024Ab704e,367
0xfC8430D9c04DDc8bB2b549EcF2f42B230E9375dE,2
0xfaD45A9aB2c408f7e6f8d4786F0708171169C2c3,1
